TOR,Carlos Delfino,0,42,27
WAS,Darius Songaila,0,39,5
TOR,Juan Dixon,1,25,6
TOR,Jason Kapono,1,37,22
WAS,Darius Songaila,0,20,26
TOR,Jason Kapono,0,17,26
WAS,Roger Mason,0,2,6
TOR,Joey Graham,0,30,23
WAS,Oleksiy Pecherov,0,18,30
TOR,Maceo Baston,1,25,6
TOR,Maceo Baston,0,25,6
WAS,Oleksiy Pecherov,1,22,13
TOR,Juan Dixon,1,24,34
TOR,Kris Humphries,0,26,23
TOR,Joey Graham,1,12,9
TOR,Kris Humphries,0,25,6
TOR,Maceo Baston,1,24,10
TOR,Joey Graham,1,16,10
WAS,Oleksiy Pecherov,0,46,20
