ATL,Al Horford,0,17,17
ORL,Rashard Lewis,1,7,13
ATL,Mike Bibby,1,43,25
ORL,Dwight Howard,1,25,6
ORL,Rashard Lewis,0,42,26
ATL,Joe Johnson,1,18,15
ORL,Jameer Nelson,1,28,17
ORL,Jameer Nelson,1,49,10
ATL,Mike Bibby,0,32,23
ORL,Keith Bogans,0,40,29
ORL,Jameer Nelson,0,2,17
ATL,Joe Johnson,1,25,6
ORL,Hedo Turkoglu,0,25,6
ATL,Josh Childress,1,25,6
ORL,Rashard Lewis,0,8,26
ATL,Mike Bibby,0,4,26
ATL,Josh Smith,0,47,17
ORL,Keith Bogans,1,25,6
ATL,Al Horford,1,25,6
ORL,Keith Bogans,0,44,13
ATL,Joe Johnson,0,17,23
ATL,Mike Bibby,1,39,19
ORL,Rashard Lewis,1,47,9
ATL,Mike Bibby,0,14,21
ORL,Keith Bogans,0,35,31
ORL,Keith Bogans,0,43,26
